Latency HdrHistogram
-------------------------------------------------------------------
Value,Percentile,TotalCount,1/(1-Percentile)
4.643,0.000000,1,1.00
5.535,0.100000,4062,1.11
5.907,0.200000,8098,1.25
6.331,0.300000,12098,1.43
7.351,0.400000,16123,1.67
7.651,0.500000,20144,2.00
7.767,0.550000,22209,2.22
7.875,0.600000,24192,2.50
7.983,0.650000,26182,2.86
8.103,0.700000,28189,3.33
8.255,0.750000,30206,4.00
8.351,0.775000,31228,4.44
8.479,0.800000,32246,5.00
8.663,0.825000,33222,5.71
8.943,0.850000,34217,6.67
9.415,0.875000,35214,8.00
9.783,0.887500,35718,8.89
10.359,0.900000,36220,10.00
11.135,0.912500,36724,11.43
12.175,0.925000,37226,13.33
13.887,0.937500,37731,16.00
15.383,0.943750,37981,17.78
17.599,0.950000,38232,20.00
21.423,0.956250,38484,22.86
27.439,0.962500,38735,26.67
35.871,0.968750,38987,32.00
41.279,0.971875,39113,35.56
47.583,0.975000,39238,40.00
54.719,0.978125,39364,45.71
62.687,0.981250,39490,53.33
71.039,0.984375,39617,64.00
75.583,0.985938,39679,71.11
80.319,0.987500,39741,80.00
86.015,0.989062,39804,91.43
92.415,0.990625,39867,106.67
99.967,0.992188,39930,128.00
105.471,0.992969,39962,142.22
111.807,0.993750,39994,160.00
118.655,0.994531,40024,182.86
129.215,0.995313,40056,213.33
139.903,0.996094,40088,256.00
145.919,0.996484,40103,284.44
151.807,0.996875,40119,320.00
157.183,0.997266,40134,365.71
164.095,0.997656,40150,426.67
172.031,0.998047,40166,512.00
176.639,0.998242,40174,568.89
180.607,0.998437,40182,640.00
185.471,0.998633,40189,731.43
189.823,0.998828,40197,853.33
195.199,0.999023,40205,1024.00
197.759,0.999121,40209,1137.78
201.343,0.999219,40213,1280.00
203.647,0.999316,40217,1462.86
208.511,0.999414,40221,1706.67
212.479,0.999512,40225,2048.00
216.447,0.999561,40227,2275.56
220.415,0.999609,40229,2560.00
228.351,0.999658,40231,2925.71
241.407,0.999707,40233,3413.33
257.151,0.999756,40235,4096.00
265.215,0.999780,40236,4551.11
273.151,0.999805,40237,5120.00
281.087,0.999829,40238,5851.43
289.023,0.999854,40239,6826.67
296.703,0.999878,40240,8192.00
296.703,0.999890,40240,9102.22
304.639,0.999902,40241,10240.00
304.639,0.999915,40241,11702.86
312.575,0.999927,40242,13653.33
312.575,0.999939,40242,16384.00
312.575,0.999945,40242,18204.44
320.511,0.999951,40243,20480.00
320.511,0.999957,40243,23405.71
320.511,0.999963,40243,27306.67
320.511,0.999969,40243,32768.00
320.511,0.999973,40243,36408.89
328.447,0.999976,40244,40960.00
328.447,1.000000,40244,inf
